,predator_radius,predator_pos_x,predator_pos_y,predator_vel_x,predator_vel_y,prey_radius,prey_pos_x,prey_pos_y,prey_vel_x,prey_vel_y,prey_survived
0,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,15.006806801305443,309.42644999385453,534.3396692285454,258.2169431737227,-31.123827067729025,1.0
1,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,23.02629387090331,582.0835156030167,165.6830840945761,-271.39876545576215,-172.92922089591065,1.0
2,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,6.729443697476671,863.8013646240112,513.8082887673417,-102.70213265899397,137.81110155761746,0.0
3,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,37.851722037041,597.2042077224619,724.1182546068034,-90.51443013043125,-75.72501479593477,1.0
4,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,16.93611236637918,192.7477976418573,699.0543216431743,-297.91005947767815,-208.56924742043066,1.0
5,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,12.999045179759175,804.5273937003283,805.2572193088139,58.6032242093494,-34.806777012935285,1.0
6,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,16.896822969646532,257.52599658817564,776.2845955224885,-267.26572625916134,143.47162246083033,0.0
7,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,36.322990405968625,785.8274736840123,412.6297026687759,152.8607351272804,236.50214144031915,0.0
8,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,13.312369932999797,821.5252168657778,779.9077689732757,-157.11759896191614,-149.88780408408076,1.0
9,23.109275684745015,748.5656361291318,861.1737574401832,187.23577982340228,-284.4844465677848,35.449781429976646,631.7052227079055,794.6017191157046,-219.63664885528377,-265.9387849912687,0.0
10,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,20.81687717407859,878.8763176248118,828.7749527869364,-110.29510065418519,135.27689307375277,0.0
11,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,35.05132341647969,279.9075717087105,482.94402820617955,159.52242236265462,226.61322284824456,0.0
12,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,30.212057020880653,594.0874284303779,651.4243488001688,-263.41104274324687,48.75400997653676,0.0
13,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,28.532739686163826,834.7447865352178,688.2015055629923,238.74740265053694,-144.63274057144946,0.0
14,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,31.096328593513206,651.9433833822045,734.112869537557,299.7297282070711,-80.09657960550696,0.0
15,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,28.76457382521052,866.8100542088679,643.1663846473386,-255.50292081211322,77.75973146932577,0.0
16,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,33.18486484818129,610.3855906893499,761.8603227166329,-299.1521091667253,-116.31906745337365,0.0
17,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,9.435478778054435,585.0091472292321,435.85024939711565,110.7861810144054,60.931632898535995,0.0
18,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,20.4894774373117,941.3665178147488,870.2114226092834,-78.35139820034671,242.1727508938212,0.0
19,28.59467596414438,847.9507110713663,457.05600780870583,218.21801378911852,193.80347664597153,36.16352799322834,860.2261253081156,385.56102133223663,-83.72776208539005,270.0479960300485,0.0
20,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,36.01946149856437,376.6386128855259,784.9046138953331,174.21495913075364,-261.5488780221086,1.0
21,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,8.18846874937842,976.8889366126555,12.604239777562414,-140.8732211008857,242.1600797058218,1.0
22,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,23.911257161555934,623.5580666461249,180.83985938368824,262.1670383394389,176.13562018360386,0.0
23,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,18.1749272278874,670.5528243431611,340.6734079665698,-230.28551762000416,250.52252382500862,1.0
24,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,17.926799646345586,747.3610023985117,789.5190478348022,-31.338363381595666,-134.56534165384994,0.0
25,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,36.578115433517375,813.4103063370616,594.5514417763582,124.84641161227054,-154.1681751835858,0.0
26,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,5.26429490967359,56.568614098851505,950.9881316587968,253.26509745475212,217.49912908504322,1.0
27,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,34.683496309842994,329.5641458726901,774.3892966645868,226.77699600520202,33.841603196994676,0.0
28,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,17.27587678684678,297.3035457595586,613.3476385906382,-161.97002858916838,-151.23651531323435,1.0
29,5.907327816602263,931.9643253558988,15.493155466917813,152.01903876268386,-105.75248208684566,5.952605788728031,346.5068283318741,810.116666001749,75.86615616800785,151.20132568572836,1.0
30,9.6616424593119,78.21095407109631,877.882603076289,44.87282596913106,92.4952751635535,27.238564654350085,758.424232222988,247.6244133319483,-150.86045768467784,55.37108510540137,1.0
